Location.Country|Location.Region|Location.Altitude.Average|Year|Data.Type.Species|Data.Scores.Total
Kenya|central kenya|1580|2012|Arabica|85
Brazil|grama valley|1100|2012|Arabica|85
Colombia|huila|1775|2012|Arabica|85
Mexico|coatepec|1200|2012|Arabica|85
United States|kona|0|2012|Arabica|85
Costa Rica|nan|0|2012|Arabica|85
Kenya|nyeri|2000|2012|Arabica|85
Guatemala|oriente|1310|2012|Arabica|85
Guatemala|acatenango|1524|2012|Arabica|85
Mexico|el remudadero|1200|2012|Arabica|85
Uganda|mbale|1775|2012|Arabica|85
Colombia|huila|1750|2012|Arabica|85
Costa Rica|tres rios|1575|2012|Arabica|85
Colombia|huila|1800|2012|Arabica|85
Kenya|nyeri|2000|2012|Arabica|85
Mexico|hustusco|1350|2012|Arabica|85
Mexico|jaltenango|1500|2012|Arabica|85
Guatemala|el tumbador, san marcos|0|2012|Arabica|85
Taiwan|mountain ali, taiwan|1200|2012|Arabica|84
United States|kona|0|2012|Arabica|84
Mexico|tapachula|900|2012|Arabica|84
Mexico|tuxtla gutierrez|1700|2012|Arabica|84
United States|kona|0|2012|Arabica|84
Mexico|veracruz|1170|2012|Arabica|84
Mexico|la concordia, chiapas|1400|2012|Arabica|84
Uganda|kasese|1700|2012|Arabica|84
Colombia|huila|1750|2012|Arabica|84
Guatemala|guatemala|0|2012|Arabica|84
Uganda|mt. rwenzori|1600|2012|Arabica|84
United States|kona|0|2012|Arabica|84
Mexico|santo domingo cacalotepec|1480|2012|Arabica|84
Ethiopia|ethiopia, sidamo|1800|2012|Arabica|84
Kenya|blend|1200|2012|Arabica|84
Thailand|thailand|0|2012|Arabica|84
Kenya|central kenya|1650|2012|Arabica|84
Uganda|kasese|1700|2012|Arabica|84
Mexico|xicotepec de juarez|900|2012|Arabica|84
Mexico|la concordia|1500|2012|Arabica|84
Mexico|la yerbabuena|1400|2012|Arabica|84
Mexico|petatlan|1218|2012|Arabica|84
Mexico|la concordia, chiapas|1300|2012|Arabica|84
Mexico|huazalingo, hidalgo|700|2012|Arabica|84
Guatemala|quetzaltenango|1300|2012|Arabica|84
Colombia|huila|1750|2012|Arabica|84
Guatemala|oriente|1450|2012|Arabica|84
Guatemala|oriente|1310|2012|Arabica|84
Mexico|xicotepec de juarez|1100|2012|Arabica|84
Indonesia|east java|1400|2012|Arabica|84
Guatemala|sacatepequez, guatemala|1524|2012|Arabica|84
Colombia|huila|1775|2012|Arabica|84
Mexico|xalapa|1000|2012|Arabica|84
Colombia|cundinamarca|2136|2012|Arabica|84
Brazil|south of minas|1100|2012|Arabica|84
Mexico|xalapa|1170|2012|Arabica|84
Mexico|totutla|1400|2012|Arabica|84
Guatemala|atitlan|1524|2012|Arabica|84
Colombia|huila|1775|2012|Arabica|84
Guatemala|oriente|1402|2012|Arabica|84
United States|kona|0|2012|Arabica|83
Colombia|cundinamarca|1450|2012|Arabica|83
Haiti|thiotte, haiti|1280|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Burundi|kayanza|1880|2012|Arabica|83
Colombia|huila|1750|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Mexico|veracruz|0|2012|Arabica|83
Guatemala|oriente|1310|2012|Arabica|83
Brazil|grama valley|1200|2012|Arabica|83
Colombia|huila|175|2012|Arabica|83
Colombia|la plata|1775|2012|Arabica|83
Mexico|tlanchinol, hidalgo|532|2012|Arabica|83
Mexico|san bartolo tutotepec|1089|2012|Arabica|83
Colombia|huila|1775|2012|Arabica|83
Mexico|san isidro|700|2012|Arabica|83
Colombia|huila|1750|2012|Arabica|83
Mexico|la concordia|1380|2012|Arabica|83
Brazil|south of minas|1000|2012|Arabica|83
Brazil|mogiana|950|2012|Arabica|83
Guatemala|oriente|1402|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Mexico|santa catarina juquila|1400|2012|Arabica|83
United States|kona|0|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Colombia|huila|1775|2012|Arabica|83
Mexico|coatepec|750|2012|Arabica|83
Mexico|atoyac de alvarez|1200|2012|Arabica|83
Mexico|coatepec|1200|2012|Arabica|83
Colombia|nan|0|2012|Arabica|83
Colombia|huila|1625|2012|Arabica|83
Colombia|huila|1750|2012|Arabica|83
Guatemala|la reforma, san marcos|1371|2012|Arabica|83
Guatemala|nan|0|2012|Arabica|83
Mexico|petatlan|1248|2012|Arabica|83
Vietnam|don duong|1040|2012|Arabica|83
Mexico|la cumbre|1400|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Tanzania, United Republic Of|arusha|1400|2012|Arabica|83
Mexico|la concordia|1550|2012|Arabica|83
Mexico|veracruz|1250|2012|Arabica|83
Guatemala|oriente|1310|2012|Arabica|83
Mexico|la concordia|1380|2012|Arabica|83
Mexico|veracruz|1200|2012|Arabica|83
Mexico|atoyac de alvarez|1200|2012|Arabica|83
Colombia|south huila|1625|2012|Arabica|83
Colombia|huila|1775|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Panama|boquete|1100|2012|Arabica|83
Colombia|huila|1800|2012|Arabica|83
El Salvador|nan|0|2012|Arabica|83
Guatemala|antigua|1500|2012|Arabica|83
Thailand|thailand|0|2012|Arabica|83
Mexico|nan|1100|2012|Arabica|83
Mexico|mahuixtlan|950|2012|Arabica|83
Guatemala|nan|0|2012|Arabica|83
Colombia|huila|1750|2012|Arabica|83
Mexico|oaxaca|1250|2012|Arabica|83
Mexico|colima|1150|2012|Arabica|83
Colombia|huila|1775|2012|Arabica|83
Mexico|san bartolo tutotepec|1679|2012|Arabica|83
Mexico|zapotitlan de mendez|1100|2012|Arabica|83
Mexico|la concordia|1650|2012|Arabica|83
Guatemala|oriente|0|2012|Arabica|83
Colombia|huila|1775|2012|Arabica|83
United States|kona|0|2012|Arabica|83
Brazil|south of minas|1000|2012|Arabica|82
Honduras|nan|0|2012|Arabica|82
Mexico|xalapa|1170|2012|Arabica|82
Mexico|zihuatanejo de azueta|1300|2012|Arabica|82
Mexico|veracruz|1350|2012|Arabica|82
Mexico|xicotepec de juarez|1150|2012|Arabica|82
Mexico|progreso santa rosa teocelo|1250|2012|Arabica|82
Mexico|fln mirador|1450|2012|Arabica|82
Colombia|huila|442|2012|Arabica|82
Brazil|south of minas|0|2012|Arabica|82
Guatemala|jalapa|1752|2012|Arabica|82
Mexico|jaltocan, hidalgo|441|2012|Arabica|82
Mexico|veracruz|1170|2012|Arabica|82
Guatemala|oriente|1310|2012|Arabica|82
Brazil|grama valley|1100|2012|Arabica|82
Mexico|santa catarina juquila|1300|2012|Arabica|82
Brazil|south of minas|950|2012|Arabica|82
Colombia|huila|442|2012|Arabica|82
Mexico|calnali, hidalgo|533|2012|Arabica|82
Mexico|veracruz|1170|2012|Arabica|82
Mexico|juquila|1250|2012|Arabica|82
El Salvador|nan|0|2012|Arabica|82
Mexico|veracruz|1100|2012|Arabica|82
Mexico|canoas|900|2012|Arabica|82
Colombia|huila|1750|2012|Arabica|82
Colombia|huila|1775|2012|Arabica|82
Brazil|nan|0|2012|Arabica|82
Mexico|san bartolo tutotepec|1144|2012|Arabica|82
Guatemala|oriente|1350|2012|Arabica|82
Mexico|altotonga|1000|2012|Arabica|82
Mexico|colima|1200|2012|Arabica|82
United States|kona|0|2012|Arabica|82
Mexico|tapachula|1800|2012|Arabica|82
Mexico|coatepec|1250|2012|Arabica|82
Vietnam|don duong|1040|2012|Arabica|82
Mexico|veracruz|1250|2012|Arabica|82
United States|kona|0|2012|Arabica|82
Mexico|coscomatepec|940|2012|Arabica|82
Brazil|south of minas|1000|2012|Arabica|82
Brazil|cerrado|1050|2012|Arabica|82
Guatemala|san marcos|0|2012|Arabica|82
Brazil|south of minas|950|2012|Arabica|82
Guatemala|oriente|1402|2012|Arabica|82
Honduras|nan|0|2012|Arabica|82
Mexico|chapulhuacan, hidalgo|981|2012|Arabica|82
Mexico|huazalingo, hidalgo|690|2012|Arabica|82
Mexico|veracruz|1650|2012|Arabica|82
Brazil|grama valley|1100|2012|Arabica|82
United States|kona|0|2012|Arabica|82
Mexico|veracruz|1500|2012|Arabica|82
Mexico|coatepec|1250|2012|Arabica|82
Mexico|tenango de doria, hidalgo|774|2012|Arabica|82
Mexico|tepictla|1250|2012|Arabica|82
Mexico|oaxaca|1100|2012|Arabica|82
Mexico|la concordia|1550|2012|Arabica|82
Mexico|la concordia|1650|2012|Arabica|82
Guatemala|jalapa|1752|2012|Arabica|82
Mexico|tuxtla gutierrez|1650|2012|Arabica|82
Mexico|yajalon|1400|2012|Arabica|82
Mexico|veracruz|1200|2012|Arabica|82
Mexico|la concordia, chiapas|1400|2012|Arabica|82
United States|kona|0|2012|Arabica|82
Mexico|la concordia|1600|2012|Arabica|82
Mexico|la concordia|1650|2012|Arabica|82
Mexico|amatenango de la frontera|1600|2012|Arabica|82
Mexico|temaxcalapa|1100|2012|Arabica|82
Mexico|manzanillo|1000|2012|Arabica|82
Mexico|tapachula|1250|2012|Arabica|82
Mexico|atoyac de alvarez|1100|2012|Arabica|82
Indonesia|ijen|1400|2012|Arabica|82
Guatemala|oriente|0|2012|Arabica|82
Mexico|huazalingo, hidalgo|763|2012|Arabica|81
Mexico|coatepec, coatepec|1100|2012|Arabica|81
Mexico|tapachula|1800|2012|Arabica|81
Mexico|veracruz|1000|2012|Arabica|81
Mexico|motozintla|1500|2012|Arabica|81
Mexico|tapachula|1800|2012|Arabica|81
Guatemala|oriente|1450|2012|Arabica|81
Brazil|south of minas|1000|2012|Arabica|81
Mexico|san fernando|1650|2012|Arabica|81
Mexico|santo reyes nopala|1300|2012|Arabica|81
Mexico|santa maria sitepec|1642|2012|Arabica|81
Mexico|talpa de allende|1200|2012|Arabica|81
United States|nan|0|2012|Arabica|81
Thailand|thailand|800|2012|Arabica|81
Mexico|motozintla, chiapas|950|2012|Arabica|81
Mexico|adolfo lopez mateos|1100|2012|Arabica|81
Mexico|ixhuatlan del cafe|1186|2012|Arabica|81
Mexico|motozintla|1210|2012|Arabica|81
Mexico|veracruz|100|2012|Arabica|81
United States|kona|0|2012|Arabica|81
Mexico|oaxaca|1200|2012|Arabica|81
Haiti|haiti|1000|2012|Arabica|81
Guatemala|oriente|0|2012|Arabica|81
Guatemala|oriente|0|2012|Arabica|81
Mexico|zaragoza itundujia|1450|2012|Arabica|81
Mexico|pochutla|1050|2012|Arabica|80
Mexico|la concordia|1550|2012|Arabica|80
United States|kona|0|2012|Arabica|80
Colombia|nan|0|2012|Arabica|80
Guatemala|oriente|1400|2012|Arabica|80
Mexico|calnali, hidalgo|808|2012|Arabica|80
Mexico|zaragoza itundujia|1550|2012|Arabica|80
Mexico|veracruz|1000|2012|Arabica|80
Guatemala|oriente|1310|2012|Arabica|80
Mexico|zaragoza itundujia|1300|2012|Arabica|80
Mexico|escuitla|1300|2012|Arabica|80
Thailand|thailand|800|2012|Arabica|80
Mexico|coatepec|1250|2012|Arabica|80
Mexico|san miguel del puerto|1100|2012|Arabica|80
Mexico|motozintla, chiapas|1100|2012|Arabica|80
Mexico|veracruz|1100|2012|Arabica|80
Mexico|jaltenango|1100|2012|Arabica|80
Mexico|coatepec|1250|2012|Arabica|80
Mexico|veracruz|1300|2012|Arabica|80
United States|kona|0|2012|Arabica|80
Mexico|zaragoza itundujia|1450|2012|Arabica|80
Mexico|pochutla|1050|2012|Arabica|80
Guatemala|antigua|0|2012|Arabica|80
Mexico|tuxtla gutierrez|1100|2012|Arabica|80
Mexico|tenango de doria, hidalgo|975|2012|Arabica|80
Mexico|coatepec, coatepec|1264|2012|Arabica|80
Mexico|tepetzingo|1250|2012|Arabica|80
Mexico|la concordia|1550|2012|Arabica|80
Mexico|la concordia|1550|2012|Arabica|80
Mexico|coatepec, coatepec|1100|2012|Arabica|80
Mexico|zentla|950|2012|Arabica|79
Mexico|zentla|750|2012|Arabica|79
Guatemala|oriente|0|2012|Arabica|79
Mexico|veracruz|1000|2012|Arabica|79
Costa Rica|san rafael|0|2012|Arabica|79
Mexico|zaragoza itundujia|1550|2012|Arabica|79
Mexico|yajalon|1450|2012|Arabica|79
Mexico|zaragoza itundujia|1500|2012|Arabica|79
Mexico|talpa de allende|1200|2012|Arabica|79
Peru|san ignacio|1400|2012|Arabica|79
Mexico|zaragoza itundujia|1550|2012|Arabica|79
Mexico|zaragoza itundujia|1400|2012|Arabica|79
Mexico|veracruz|1320|2012|Arabica|79
Mexico|veracruz|1250|2012|Arabica|79
Mexico|ohuapan, tlaltetela|1350|2012|Arabica|79
Mexico|yecuatla|1150|2012|Arabica|79
Mexico|tapachula|1400|2012|Arabica|79
Mexico|cofradia de suchitlan|1300|2012|Arabica|79
Mexico|los angeles|1200|2012|Arabica|79
Mexico|zaragoza itundujia|1500|2012|Arabica|78
Guatemala|oriente|1310|2012|Arabica|78
Guatemala|oriente|0|2012|Arabica|78
United States|kona|0|2012|Arabica|78
Mexico|cordoba|1050|2012|Arabica|78
Mexico|motozintla, chiapas|850|2012|Arabica|78
Mexico|petatlan|1248|2012|Arabica|78
Guatemala|oriente|0|2012|Arabica|78
Mexico|coatepec|1300|2012|Arabica|78
Mexico|zaragoza itundujia|1500|2012|Arabica|77
Mexico|motozintla, chiapas|1200|2012|Arabica|77
Mexico|coatepec|1100|2012|Arabica|76
Guatemala|oriente|1310|2012|Arabica|76
Mexico|zaragoza itundujia|1400|2012|Arabica|76
Philippines|benguet, mountain province|1000|2012|Arabica|76
Guatemala|oriente|1310|2012|Arabica|76
Guatemala|oriente|0|2012|Arabica|76
Mexico|ocosingo|1200|2012|Arabica|75
Mexico|nan|1100|2012|Arabica|75
Mexico|huautla de jimenez|1280|2012|Arabica|75
Mexico|menglian|850|2012|Arabica|75
Mexico|zaragoza itundujia|1500|2012|Arabica|75
Mexico|coatepec|1250|2012|Arabica|75
Guatemala|oriente|0|2012|Arabica|75
Guatemala|oriente|0|2012|Arabica|75
Mexico|chocaman, veracruz|1140|2012|Arabica|74
Mexico|xalapa|1200|2012|Arabica|74
Mexico|coatepec|1250|2012|Arabica|74
United States|kona|0|2012|Arabica|74
Mexico|tlatlauquitepec|800|2012|Arabica|71
Mexico|veracruz|1800|2012|Arabica|71
Mexico|juchique de ferrer|900|2012|Arabica|68
Haiti|department d'artibonite , haiti|350|2012|Arabica|68
Guatemala|nuevo oriente|1417|2012|Arabica|60
India|chikmagalur|3000|2012|Robusta|83
United States|chikmagalur|3000|2012|Robusta|79
Brazil|nan|0|2013|Arabica|89
Ethiopia|sidamo|0|2013|Arabica|87
Uganda|kapchorwa eastern|1950|2013|Arabica|87
Kenya|muranga|1800|2013|Arabica|86
Colombia|tolima|1200|2013|Arabica|86
Kenya|kiambu|1860|2013|Arabica|86
Uganda|eastern|1650|2013|Arabica|86
Colombia|huila|1800|2013|Arabica|86
Peru|cajamarca|0|2013|Arabica|86
El Salvador|apaneca|1500|2013|Arabica|86
Uganda|bulambuli eastern region|1600|2013|Arabica|86
Guatemala|huehuetenango|1731|2013|Arabica|86
Uganda|kapchorwa|1950|2013|Arabica|85
Uganda|eastern|1650|2013|Arabica|85
Kenya|nyeri|1800|2013|Arabica|85
Colombia|huila|1750|2013|Arabica|85
Kenya|nan|0|2013|Arabica|85
China|yunnan|1100|2013|Arabica|85
Guatemala|oriente|1310|2013|Arabica|85
Colombia|huila|1800|2013|Arabica|84
Colombia|cauca|1700|2013|Arabica|84
Guatemala|nan|0|2013|Arabica|84
Kenya|kenya|250|2013|Arabica|84
Guatemala|oriente|1310|2013|Arabica|84
El Salvador|apaneca|1500|2013|Arabica|84
Ethiopia|sidamo|1550|2013|Arabica|84
Colombia|cauca|1700|2013|Arabica|84
Costa Rica|central valley|1300|2013|Arabica|84
Ecuador|province of manabi, ecuador|800|2013|Arabica|84
Colombia|huila|1750|2013|Arabica|84
Guatemala|oriente|1310|2013|Arabica|84
Uganda|west nile|1400|2013|Arabica|84
United States|yauco region|853|2013|Arabica|84
Colombia|huila|1750|2013|Arabica|84
Colombia|huila|1750|2013|Arabica|84
United States|kona|0|2013|Arabica|84
Colombia|huila supremo|1750|2013|Arabica|84
Colombia|huila|1900|2013|Arabica|84
Guatemala|oriente|1310|2013|Arabica|84
Guatemala|oriente|1310|2013|Arabica|84
Uganda|eastern|1800|2013|Arabica|84
Guatemala|atitlan|1400|2013|Arabica|84
Colombia|huila|1750|2013|Arabica|84
Colombia|huila|1750|2013|Arabica|84
Guatemala|oriente|1219|2013|Arabica|83
Guatemala|oriente|1310|2013|Arabica|83
Costa Rica|central valley|1200|2013|Arabica|83
Peru|nan|0|2013|Arabica|83
Colombia|pitalito|1000|2013|Arabica|83
Guatemala|oriente|1310|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Mexico|chiapas|1300|2013|Arabica|83
Honduras|san marcos|1450|2013|Arabica|83
United States|kona|0|2013|Arabica|83
Guatemala|oriente|1310|2013|Arabica|83
Mexico|chiapas|1500|2013|Arabica|83
United States|kona|0|2013|Arabica|83
Uganda|kapchorwa|1800|2013|Arabica|83
United States|yauco region|853|2013|Arabica|83
Costa Rica|central valley|1200|2013|Arabica|83
Colombia|huila|1775|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Colombia|pitalito|1000|2013|Arabica|83
Colombia|pitalito|1000|2013|Arabica|83
Uganda|eastern|1650|2013|Arabica|83
Uganda|west nile|1400|2013|Arabica|83
Colombia|huila|1900|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Guatemala|huehuetenango|1706|2013|Arabica|83
Colombia|antioquia|1450|2013|Arabica|83
Colombia|santander|1800|2013|Arabica|83
Colombia|huila|1775|2013|Arabica|83
United States|kona|0|2013|Arabica|83
United States|kona|0|2013|Arabica|83
Colombia|antioquia|1300|2013|Arabica|83
Mexico|chiapas|1550|2013|Arabica|83
Uganda|mt elgon|1650|2013|Arabica|83
Uganda|eastern|1650|2013|Arabica|83
Costa Rica|central valley|1300|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Mexico|chiapas|1600|2013|Arabica|83
Guatemala|oriente|1310|2013|Arabica|83
Colombia|huila|1750|2013|Arabica|83
Guatemala|oriente|1310|2013|Arabica|83
Guatemala|atitlan|1400|2013|Arabica|82
Peru|peru|0|2013|Arabica|82
Mexico|veracruz|1170|2013|Arabica|82
Colombia|huila|1775|2013|Arabica|82
Mexico|chiapas|1560|2013|Arabica|82
Colombia|antioquia|1300|2013|Arabica|82
Guatemala|oriente|1310|2013|Arabica|82
Colombia|huila|1750|2013|Arabica|82
Mexico|la concordia, chiapas|1300|2013|Arabica|82
Mexico|veracruz|1338|2013|Arabica|82
United States|kona|0|2013|Arabica|82
Mexico|la concordia, chiapas|1400|2013|Arabica|82
Colombia|huila|1750|2013|Arabica|82
Colombia|nan|0|2013|Arabica|82
Costa Rica|turrialba|13|2013|Arabica|82
Thailand|thailand|800|2013|Arabica|82
Costa Rica|central valley|1300|2013|Arabica|82
Colombia|huila|1900|2013|Arabica|82
Nicaragua|nan|0|2013|Arabica|82
Mexico|chiapas|1300|2013|Arabica|82
Colombia|huila|1775|2013|Arabica|82
Guatemala|oriente|1310|2013|Arabica|82
Brazil|nan|0|2013|Arabica|82
Tanzania, United Republic Of|ilomba vilage, mbozi|1700|2013|Arabica|82
Indonesia|bener meriah|0|2013|Arabica|82
Costa Rica|tarrazu|1850|2013|Arabica|82
Mexico|la concordia, chiapas|1400|2013|Arabica|82
Guatemala|oriente|1310|2013|Arabica|82
Mexico|la concordia, chiapas|1400|2013|Arabica|82
Haiti|dondon, haiti|825|2013|Arabica|82
Mexico|la concordia, chiapas|1150|2013|Arabica|82
Peru|puno|0|2013|Arabica|81
Guatemala|oriente|1310|2013|Arabica|81
Guatemala|sacatepequez, guatemala|1524|2013|Arabica|81
Brazil|monte carmelo|0|2013|Arabica|81
United States|yauco region|853|2013|Arabica|81
Uganda|eastern|1700|2013|Arabica|81
Nicaragua|matagalpa|1050|2013|Arabica|81
Guatemala|orient|1200|2013|Arabica|81
Guatemala|san lucas toliman, solola|1550|2013|Arabica|81
United States|kona|0|2013|Arabica|81
Guatemala|huehuetenango|1859|2013|Arabica|81
El Salvador|department of ahuachapan, municipality of apanecallamatepec mountain|1450|2013|Arabica|80
China|yunnan|1700|2013|Arabica|80
Guatemala|oriente|1310|2013|Arabica|80
Guatemala|oriente|1310|2013|Arabica|80
Nicaragua|nan|0|2013|Arabica|80
Mexico|chiapas|1300|2013|Arabica|80
Thailand|thailand|800|2013|Arabica|80
Peru|huanuco|0|2013|Arabica|80
Costa Rica|brunca|1100|2013|Arabica|80
Mexico|la concordia, chiapas|1400|2013|Arabica|80
Mexico|chiapas|1022|2013|Arabica|80
Mexico|chiapas|1300|2013|Arabica|80
Thailand|thailand|800|2013|Arabica|80
Guatemala|oriente|1310|2013|Arabica|80
Mexico|la concordia, chiapas|1400|2013|Arabica|80
Colombia|cundinamarca|1550|2013|Arabica|80
Guatemala|oriente|1219|2013|Arabica|79
Colombia|pereira|1200|2013|Arabica|79
United States|yauco region|853|2013|Arabica|79
Mexico|la concordia, chiapas|1300|2013|Arabica|79
United States|kona|0|2013|Arabica|79
Guatemala|oriente|1310|2013|Arabica|79
China|yunnan|1850|2013|Arabica|79
China|yunnan|1200|2013|Arabica|78
Guatemala|oriente|1310|2013|Arabica|78
Guatemala|oriente|1310|2013|Arabica|78
United States|kona|0|2013|Arabica|78
Guatemala|oriente|1310|2013|Arabica|77
Haiti|dondon, haiti|825|2013|Arabica|77
United States|kona|0|2013|Arabica|77
United States|kona|0|2013|Arabica|76
Mexico|chiapas|1700|2013|Arabica|75
Guatemala|oriente|1310|2013|Arabica|74
Colombia|nan|0|2013|Arabica|73
Uganda|sheema south western|1488|2013|Robusta|84
Uganda|central|1212|2013|Robusta|83
Uganda|luwero central region|1250|2013|Robusta|83
Uganda|eastern|1367|2013|Robusta|82
India|chikmagalur|750|2013|Robusta|81
Uganda|western|1600|2013|Robusta|81
Uganda|western|1745|2013|Robusta|81
Uganda|southern|1200|2013|Robusta|81
India|chikmagalur|750|2013|Robusta|80
India|nan|0|2013|Robusta|75
Vietnam|nan|0|2013|Robusta|74
Ethiopia|guji-hambela|2075|2014|Arabica|91
Ethiopia|guji-hambela|2075|2014|Arabica|90
Ethiopia|oromia|2000|2014|Arabica|89
Ethiopia|guji-hambela|2075|2014|Arabica|89
Ethiopia|snnp/kaffa zone,gimbowereda|1822|2014|Arabica|88
Ethiopia|oromia|1905|2014|Arabica|88
United States|antioquia|1872|2014|Arabica|88
United States|antioquia|1943|2014|Arabica|88
United States|antioquia|2080|2014|Arabica|88
Ethiopia|gedio|1850|2014|Arabica|87
United States|antioquia|2019|2014|Arabica|87
Costa Rica|san ramon|1300|2014|Arabica|87
United States|antioquia|2112|2014|Arabica|87
Ethiopia|oromia|1775|2014|Arabica|86
United States|antioquia|1941|2014|Arabica|86
Kenya|nyeri|1754|2014|Arabica|86
Uganda|eastern uganda|0|2014|Arabica|86
Ethiopia|oromia|1900|2014|Arabica|86
Panama|boquete|1680|2014|Arabica|86
Kenya|kirinyaga|1900|2014|Arabica|86
Guatemala|huehuetenango|1770|2014|Arabica|85
Costa Rica|west valley|1300|2014|Arabica|85
Costa Rica|san ramon|1300|2014|Arabica|85
Ethiopia|aricha|1700|2014|Arabica|85
United States|kona|0|2014|Arabica|85
Tanzania, United Republic Of|mbeya|1620|2014|Arabica|85
Kenya|nyeri|1800|2014|Arabica|85
Honduras|marcala|1450|2014|Arabica|85
Ethiopia|yirgacheffe|1900|2014|Arabica|85
Costa Rica|costa rica|1750|2014|Arabica|85
Costa Rica|west valley|1200|2014|Arabica|85
Guatemala|jalapa|1524|2014|Arabica|85
Guatemala|oriente|1219|2014|Arabica|85
Colombia|huila|1775|2014|Arabica|84
Tanzania, United Republic Of|shizingo village|1620|2014|Arabica|84
Tanzania, United Republic Of|mbeya|1600|2014|Arabica|84
Guatemala|oriente|1219|2014|Arabica|84
Costa Rica|tarrazu|1850|2014|Arabica|84
Ethiopia|snnprg; kafa; telo woreda; shada kebele|1606|2014|Arabica|84
Tanzania, United Republic Of|arusha|1400|2014|Arabica|84
Colombia|huila|1775|2014|Arabica|84
Guatemala|aldea xeucalvitz, ixil region, quiche department|1550|2014|Arabica|84
Guatemala|oriente|1219|2014|Arabica|84
Guatemala|oriente|1219|2014|Arabica|84
Colombia|huila|1480|2014|Arabica|84
Colombia|huila|1775|2014|Arabica|84
Colombia|huila|0|2014|Arabica|84
Colombia|huila|1775|2014|Arabica|84
Ethiopia|oromia|1676|2014|Arabica|84
Guatemala|oriente|1219|2014|Arabica|84
Colombia|huila|1775|2014|Arabica|84
Colombia|huila|1550|2014|Arabica|84
Thailand|thailand|800|2014|Arabica|84
Guatemala|huehuetenango|1356|2014|Arabica|84
Ethiopia|yirgacheffe|1850|2014|Arabica|84
Ethiopia|oromia|1600|2014|Arabica|84
Colombia|huila|0|2014|Arabica|84
Colombia|huila|1850|2014|Arabica|84
Brazil|vale da grama|0|2014|Arabica|83
Tanzania, United Republic Of|karatu northern|1600|2014|Arabica|83
Guatemala|antigua|1500|2014|Arabica|83
Tanzania, United Republic Of|arusha|1700|2014|Arabica|83
